crimeID,longitude,latitude
'b560c',-0.069112,51.47072
'30d1a',-0.068681,51.472736
'480e3',-0.073932,51.475251
'60d52',-0.080152,51.481773
'35be3',-0.090503,51.477401
'4e77b',-0.096036,51.469029
'02fe1',-0.093916,51.468077
'604fc',-0.10355,51.453099
'71547',-0.105847,51.454287
'b7969',-0.114788,51.462606
'eae5e',-0.120538,51.460693
'a7f6f',-0.122652,51.455502
'3e026',-0.127464,51.45539
'98adb',-0.137787,51.462029
'31fc0',-0.137787,51.462029
'0e16a',-0.134987,51.46327
'5042a',-0.136062,51.464088
'c2856',-0.138028,51.475576
'9410e',-0.143293,51.481028
'dc716',-0.152167,51.47597
'c232d',-0.168955,51.473158
'22e22',-0.167855,51.468986
'22e48',-0.173905,51.46891
'15c85',-0.185383,51.475383
'4dd65',-0.198156,51.47611
'ccae0',-0.177824,51.482585
'4b986',-0.185834,51.490506
'a38d8',-0.176243,51.492965
'0c987',-0.165625,51.49012
'7dfe2',-0.163368,51.489662
'fd53c',-0.149605,51.491604
'50735',-0.138459,51.493621
'2bf09',-0.161283,51.493505
'90125',-0.16782,51.496827
'61a04',-0.167975,51.497252
'486aa',-0.167888,51.497988
'69f18',-0.163434,51.499842
'394fd',-0.16189,51.500987
'99d29',-0.170369,51.50835
'ca409',-0.175432,51.515434
'9302e',-0.164973,51.525009
'e0a06',-0.164973,51.525009
'f4d9e',-0.165413,51.522669
'5291f',-0.159461,51.51335
'a4cdd',-0.154345,51.514052
'1f4d0',-0.151474,51.517684
'44dd1',-0.145735,51.514195
'3b420',-0.14705,51.512336
'ae31c',-0.146936,51.509097
'7be72',-0.141526,51.512078
'54520',-0.138803,51.513114
'a6608',-0.140004,51.513708
'7c283',-0.142363,51.513827
'd9ff6',-0.140844,51.514684
'454af',-0.140222,51.515088
'372a3',-0.140154,51.516058
'6dc46',-0.137324,51.516166
'ac2e5',-0.135874,51.515684
'9c5a3',-0.136201,51.515087
'cbe84',-0.133841,51.512513
'3f416',-0.134995,51.512136
'1eb20',-0.134064,51.510952
'8c81e',-0.13493,51.509158
'98ae6',-0.131196,51.510942
'e9a50',-0.131196,51.510942
'c3355',-0.131925,51.51179
'a75a5',-0.131925,51.51179
'10777',-0.131715,51.513406
'09250',-0.131436,51.514246
'681a5',-0.131037,51.514492
'874e3',-0.129593,51.513848
'8fb58',-0.129438,51.513064
'6ed74',-0.128701,51.511703
'780a4',-0.128701,51.511703
'da011',-0.12833,51.513361
'ea5e7',-0.127139,51.513243
'eac9b',-0.125347,51.51968
'adc1f',-0.123056,51.5186
'c8783',-0.125259,51.514445
'e8d70',-0.124528,51.51401
'b1b9b',-0.123456,51.513777
'3dd82',-0.118888,51.513075
'ccf12',-0.121916,51.51163
'63a49',-0.120887,51.510373
'93619',-0.123461,51.508409
'ff1b8',-0.124122,51.508087
'a0647',-0.113994,51.506998
'7fa41',-0.111971,51.501201
'8e3a4',-0.116432,51.495541
'49fc4',-0.111492,51.490825
'7fc2d',-0.111492,51.490825
'73b8a',-0.110415,51.487966
'12ddb',-0.110774,51.487289
'2cc42',-0.114195,51.489205
'810b6',-0.122473,51.488618
'29946',-0.124227,51.485535
'573ab',-0.110317,51.47953
'10c55',-0.103398,51.483491
'7fe42',-0.097339,51.48753
'5db1a',-0.097211,51.488202
'af3c2',-0.093957,51.493347
'8a2d7',-0.094356,51.496888
'4ab5a',-0.094708,51.497784
'846ba',-0.098947,51.497367
'8b9eb',-0.100949,51.506374
'57060',-0.089938,51.505386
'10f92',-0.088338,51.505414
'7a2b1',-0.089168,51.504168
'46b61',-0.090684,51.502367
'19308',-0.090273,51.497037
'c7f7f',-0.088441,51.491926
'458d6',-0.083157,51.494268
'8df36',-0.072245,51.491347
'a5dd1',-0.071058,51.488404
'f02c2',-0.072296,51.485008
'6e8c2',-0.068634,51.488158
'05905',-0.065234,51.492274
'80a9e',-0.06317,51.497123
'08086',-0.06804,51.498139
'67403',-0.076587,51.500446
'5b793',-0.068095,51.509785
'9db58',-0.073278,51.518422
'02057',-0.071852,51.519775
'29943',-0.080594,51.526132
'ae1e1',-0.083237,51.524979
'1b369',-0.089842,51.526984
'0ad98',-0.092656,51.526563
'b50c4',-0.096819,51.527008
'b5bfd',-0.09093,51.52166
'b51e0',-0.099284,51.52355
'd3daf',-0.107917,51.5194
'09e85',-0.105962,51.522758
'84393',-0.102854,51.528176
'647af',-0.106464,51.530455
'afcc4',-0.115479,51.529674
'e8c5b',-0.123588,51.529849
'0d210',-0.125729,51.528633
'46e26',-0.128136,51.528645
'36aca',-0.131609,51.525296
'7fcd4',-0.138152,51.523786
'57bc7',-0.14171,51.521028
'68ff5',-0.142662,51.519946
'29847',-0.142205,51.527637
'3361b',-0.140778,51.529035
'96dd4',-0.143693,51.530394
'bd42e',-0.140141,51.534753
'f4751',-0.13349,51.538028
'88b5c',-0.14054,51.537349
'789d9',-0.141993,51.538136
'4dddd',-0.142748,51.539425
'6cb16',-0.144307,51.540595
'c80c3',-0.144307,51.540595
'c726b',-0.141729,51.545695
'1e779',-0.149304,51.543117
'7e786',-0.166129,51.553632
'bf0de',-0.179462,51.546295
'1ff43',-0.181132,51.54276
'95134',-0.189556,51.535076
'ba3d9',-0.195551,51.540267
'67ce6',-0.198751,51.542493
'67275',-0.200903,51.548631
'92504',-0.22062,51.549724
'304bf',-0.239714,51.549418
'f47a9',-0.245403,51.558235
'3a16f',-0.250049,51.558988
'c3faf',-0.227085,51.568193
'ba8bd',-0.208901,51.559805
'c9b4d',-0.204957,51.571318
'36c1d',-0.201469,51.577793
'e71b5',-0.204648,51.586493
'd9536',-0.206048,51.59271
'ceab2',-0.209406,51.606807
'1512a',-0.194685,51.601123
'74a15',-0.174833,51.589891
'7cd8b',-0.14398,51.576143
'f2fb7',-0.130917,51.570207
'66ceb',-0.138845,51.565118
'62a5f',-0.138734,51.557589
'58d22',-0.141383,51.549934
'b1bf9',-0.136902,51.544171
'97aa5',-0.132373,51.544881
'a661b',-0.115678,51.552087
'f1a4e',-0.11047,51.54757
'ffb25',-0.105771,51.547152
'198db',-0.100995,51.536473
'bff1e',-0.091246,51.533392
'57aa7',-0.088734,51.532452
'0951a',-0.069615,51.530061
'71eab',-0.05614,51.529254
'15ede',-0.050053,51.521582
'3ce3f',-0.057886,51.518735
'bb937',-0.054824,51.517182
'22d14',-0.030302,51.50993
'f0ed5',-0.017778,51.50033
'59add',-0.034134,51.500588
'fb56c',-0.04918,51.497809
'677a4',-0.047461,51.493203
'9182f',-0.048247,51.491327
'7d25b',-0.051163,51.482392
'6b010',-0.045371,51.47976
'f384c',-0.036356,51.478737
'916a4',-0.026066,51.47824
'ea746',-0.024806,51.481394
'47823',-0.009691,51.483548
